date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG
2020-10-01,705,41,5,514,41,5,82,7,0,58,6,1,332,22,1,227,19,2,120,5,0,72,5,0,145,6,4,122,10,1,26,1,0,34,2,0
2020-10-02,605,49,3,534,42,5,80,5,0,62,5,1,271,26,1,239,20,2,78,4,0,73,5,0,140,13,2,125,10,1,36,2,0,35,2,0
2020-10-03,299,25,5,537,41,5,34,1,1,61,5,1,93,12,1,236,20,2,57,4,0,77,5,0,98,5,2,130,10,2,17,3,1,33,2,0
2020-10-04,335,44,7,530,43,5,34,4,0,61,5,1,162,22,3,234,21,2,29,4,0,76,5,0,84,11,3,127,10,2,26,4,1,32,2,0
2020-10-05,766,56,0,577,45,5,94,10,0,63,5,1,355,25,0,265,23,2,84,2,0,79,5,0,196,17,0,139,11,2,37,2,0,31,2,0
2020-10-06,571,47,3,555,45,4,67,5,0,63,5,0,251,23,2,250,23,2,79,8,0,77,5,0,145,11,1,135,10,2,29,1,0,30,2,0
2020-10-07,542,45,4,546,44,4,75,9,1,67,6,0,223,22,1,241,22,1,75,5,1,75,5,0,132,10,1,134,10,2,37,0,0,30,2,0
2020-10-08,525,47,5,520,45,4,83,8,0,67,6,0,217,20,3,225,21,2,80,7,0,69,5,0,112,8,2,130,11,2,33,4,0,31,2,0
2020-10-09,524,54,2,509,45,4,92,6,1,68,6,0,184,29,0,212,22,1,74,4,0,68,5,0,143,13,1,130,11,1,31,3,0,30,2,0
2020-10-10,314,38,4,511,47,4,36,3,1,69,6,0,96,18,0,213,23,1,46,5,0,67,5,0,99,7,2,130,11,1,36,5,1,33,3,0
